Time Remaining,MILMB,Away Team Score,Play Team Indicator,Home Team Score,LCM,Game Score,Team Indicator,Play,Period
04:22,,17,,40 (+23),"GOOD FT by AMES,TREY",LCM 17-40 (-23),,"GOOD FT by AMES,TREY",1
04:22,,17,,41 (+24),"GOOD FT by AMES,TREY",LCM 17-41 (-24),,"GOOD FT by AMES,TREY",1
04:22,"SUB IN by BLANZ,BUCK",,,,,,,"SUB IN by BLANZ,BUCK",1
04:22,"SUB IN by SULLIVAN,MICHAEL",,,,,,,"SUB IN by SULLIVAN,MICHAEL",1
04:22,"SUB IN by SPIKES,KALVIN",,,,,,,"SUB IN by SPIKES,KALVIN",1
04:22,"SUB OUT by MILLER,JOSHUA",,,,,,,"SUB OUT by MILLER,JOSHUA",1
04:22,"SUB OUT by OWENS,MATT",,,,,,,"SUB OUT by OWENS,MATT",1
04:22,"SUB OUT by GRANT,SHE'CHEM",,,,,,,"SUB OUT by GRANT,SHE'CHEM",1
04:22,,,,,"SUB IN by SCHULTZ,TRAVIS",,,"SUB IN by SCHULTZ,TRAVIS",1
04:22,,,,,"SUB IN by LEE,TORRIAN",,,"SUB IN by LEE,TORRIAN",1
04:22,,,,,"SUB OUT by HOLLIS,REX",,,"SUB OUT by HOLLIS,REX",1
04:22,,,,,"SUB OUT by STOKES,TIMOTHY",,,"SUB OUT by STOKES,TIMOTHY",1
04:16,"TURNOVER  by SULLIVAN,MICHAEL",,,,,,,"TURNOVER  by SULLIVAN,MICHAEL",1
04:16,"FOUL  by SULLIVAN,MICHAEL",,,,,,,"FOUL  by SULLIVAN,MICHAEL",1
04:05,,,,,"MISS JUMPER by GROGAN,TAYLAN",,,"MISS JUMPER by GROGAN,TAYLAN",1
--,"REBOUND DEF by CARVELLI,CAMERON",,,,,,,"REBOUND DEF by CARVELLI,CAMERON",1
03:54,,,,,"FOUL  by AMES,TREY",,,"FOUL  by AMES,TREY",1
03:54,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:54,,,,,"SUB IN by WASHINGTON,DEVON",,,"SUB IN by WASHINGTON,DEVON",1
