Time Remaining,MILMB,Away Team Score,Play Team Indicator,Home Team Score,BUMBB,Game Score,Team Indicator,Play,Period
09:34,"BLOCK  by ,RONALD WILLIAMS JR",,,,,,,"BLOCK  by ,RONALD WILLIAMS JR",1
--,"REBOUND DEF by ,RONALD WILLIAMS JR",,,,,,,"REBOUND DEF by ,RONALD WILLIAMS JR",1
09:23,"FOUL  by ,RONALD WILLIAMS JR",,,,,,,"FOUL  by ,RONALD WILLIAMS JR",1
09:23,"SUB IN by BLANZ,BUCK",,,,,,,"SUB IN by BLANZ,BUCK",1
09:23,"SUB OUT by ,RONALD WILLIAMS JR",,,,,,,"SUB OUT by ,RONALD WILLIAMS JR",1
09:11,,,,,"MISS 3PTR by DURHAM,JONATHAN",,,"MISS 3PTR by DURHAM,JONATHAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
09:07,"FOUL  by BECKER,SAXTON",,,,,,,"FOUL  by BECKER,SAXTON",1
09:07,,18,,27 (+9),"GOOD FT by MCCOY,TOMMY",BUMBB 18-27 (-9),,"GOOD FT by MCCOY,TOMMY",1
09:07,,18,,28 (+10),"GOOD FT by MCCOY,TOMMY",BUMBB 18-28 (-10),,"GOOD FT by MCCOY,TOMMY",1
09:07,"SUB IN by KOHNKE,SAM",,,,,,,"SUB IN by KOHNKE,SAM",1
09:07,"SUB OUT by BECKER,SAXTON",,,,,,,"SUB OUT by BECKER,SAXTON",1
09:05,"TURNOVER  by SULLIVAN,MICHAEL",,,,,,,"TURNOVER  by SULLIVAN,MICHAEL",1
08:47,,,,,"MISS 3PTR by DURHAM,JONATHAN",,,"MISS 3PTR by DURHAM,JONATHAN",1
--,"REBOUND DEF by BLANZ,BUCK",,,,,,,"REBOUND DEF by BLANZ,BUCK",1
08:31,"MISS LAYUP by MILLER,JOSHUA",,,,,,,"MISS LAYUP by MILLER,JOSHUA",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
08:31,,,,,"FOUL  by HODUM,RICK",,,"FOUL  by HODUM,RICK",1
08:31,"GOOD FT by MILLER,JOSHUA",19,,28 (+9),,MILMB 19-28 (-9),,"GOOD FT by MILLER,JOSHUA",1
08:31,"MISS FT by MILLER,JOSHUA",,,,,,,"MISS FT by MILLER,JOSHUA",1
--,,,,,"REBOUND DEF by JONES,JUSTIN",,,"REBOUND DEF by JONES,JUSTIN",1
08:31,"SUB IN by CARVELLI,CAMERON",,,,,,,"SUB IN by CARVELLI,CAMERON",1
08:31,"SUB OUT by SULLIVAN,MICHAEL",,,,,,,"SUB OUT by SULLIVAN,MICHAEL",1
08:18,,,,,"TURNOVER  by JONES,JUSTIN",,,"TURNOVER  by JONES,JUSTIN",1
08:15,"SUB IN by LEONCE,JOSH",,,,,,,"SUB IN by LEONCE,JOSH",1
08:15,"SUB OUT by COLEMAN,DANIEL",,,,,,,"SUB OUT by COLEMAN,DANIEL",1
08:11,,,,,"FOUL  by DURHAM,JONATHAN",,,"FOUL  by DURHAM,JONATHAN",1
08:11,"GOOD FT by CARVELLI,CAMERON",20,,28 (+8),,MILMB 20-28 (-8),,"GOOD FT by CARVELLI,CAMERON",1
08:11,"GOOD FT by CARVELLI,CAMERON",21,,28 (+7),,MILMB 21-28 (-7),,"GOOD FT by CARVELLI,CAMERON",1
07:59,,21,,31 (+10),"GOOD 3PTR by JONES,JUSTIN",BUMBB 21-31 (-10),,"GOOD 3PTR by JONES,JUSTIN",1
--,,,,,"ASSIST  by DURHAM,JONATHAN",,,"ASSIST  by DURHAM,JONATHAN",1
07:43,"GOOD 3PTR by LEONCE,JOSH",24,,31 (+7),,MILMB 24-31 (-7),,"GOOD 3PTR by LEONCE,JOSH",1
--,"ASSIST  by KOHNKE,SAM",,,,,,,"ASSIST  by KOHNKE,SAM",1
07:22,,,,,"MISS LAYUP by JONES,JUSTIN",,,"MISS LAYUP by JONES,JUSTIN",1
--,"REBOUND DEF by CARVELLI,CAMERON",,,,,,,"REBOUND DEF by CARVELLI,CAMERON",1
07:11,"MISS 3PTR by BLANZ,BUCK",,,,,,,"MISS 3PTR by BLANZ,BUCK",1
--,,,,,"REBOUND DEF by MCCOY,TOMMY",,,"REBOUND DEF by MCCOY,TOMMY",1
07:01,,,,,"MISS LAYUP by MCCOY,TOMMY",,,"MISS LAYUP by MCCOY,TOMMY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
07:01,"FOUL  by BLANZ,BUCK",,,,,,,"FOUL  by BLANZ,BUCK",1
07:01,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
07:01,FOUL TECH by TEAM,,,,,,,FOUL TECH by TEAM,1
07:01,,24,,32 (+8),"GOOD FT by JONES,JUSTIN",BUMBB 24-32 (-8),,"GOOD FT by JONES,JUSTIN",1
07:01,,,,,"MISS FT by MCCOY,TOMMY",,,"MISS FT by MCCOY,TOMMY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
07:01,,24,,33 (+9),"GOOD FT by MCCOY,TOMMY",BUMBB 24-33 (-9),,"GOOD FT by MCCOY,TOMMY",1
07:01,"SUB IN by TURNER,JAMES",,,,,,,"SUB IN by TURNER,JAMES",1
07:01,"SUB OUT by BLANZ,BUCK",,,,,,,"SUB OUT by BLANZ,BUCK",1
07:01,,,,,"SUB IN by ROBERTS,JOSHUA",,,"SUB IN by ROBERTS,JOSHUA",1
07:01,,,,,"SUB IN by BROWN,ISIAH",,,"SUB IN by BROWN,ISIAH",1
07:01,,,,,"SUB IN by LEATHERWOOD,TRAEVIAN",,,"SUB IN by LEATHERWOOD,TRAEVIAN",1
07:01,,,,,"SUB IN by LORIS,JOHN",,,"SUB IN by LORIS,JOHN",1
07:01,,,,,"SUB IN by PRICE,VICTOR",,,"SUB IN by PRICE,VICTOR",1
07:01,,,,,"SUB IN by COLE,DAVID",,,"SUB IN by COLE,DAVID",1
07:01,,,,,"SUB IN by WEBBER,BRENT",,,"SUB IN by WEBBER,BRENT",1
