Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,OUM,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by WARDLAW,CHASE",,,"REBOUND DEF by WARDLAW,CHASE",1
08:57,,7,,22 (+15),"GOOD 3PTR by SMITH,CONNOR",OUM 7-22 (-15),,"GOOD 3PTR by SMITH,CONNOR",1
--,,,,,"ASSIST  by BATES,ROMELLO",,,"ASSIST  by BATES,ROMELLO",1
08:41,"MISS LAYUP by ALDOUS,HANK",,,,,,,"MISS LAYUP by ALDOUS,HANK",1
--,"REBOUND OFF by LITTLEFIELD,GEAREN",,,,,,,"REBOUND OFF by LITTLEFIELD,GEAREN",1
08:30,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",9,,22 (+13),,HC 9-22 (-13),,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",1
--,"ASSIST  by ALDOUS,HANK",,,,,,,"ASSIST  by ALDOUS,HANK",1
08:07,,,,,"TURNOVER  by BATES,ROMELLO",,,"TURNOVER  by BATES,ROMELLO",1
08:07,"SUB IN by NIKOLOVSKI,DREW",,,,,,,"SUB IN by NIKOLOVSKI,DREW",1
08:07,"SUB IN by OGLE,JOHN",,,,,,,"SUB IN by OGLE,JOHN",1
08:07,"SUB IN by BARRETT,JORDAN",,,,,,,"SUB IN by BARRETT,JORDAN",1
08:07,"SUB OUT by GUMM,GABE",,,,,,,"SUB OUT by GUMM,GABE",1
08:07,"SUB OUT by STEELE,AARON",,,,,,,"SUB OUT by STEELE,AARON",1
08:07,"SUB OUT by LITTLEFIELD,GEAREN",,,,,,,"SUB OUT by LITTLEFIELD,GEAREN",1
07:47,"FOUL  by ALDOUS,HANK",,,,,,,"FOUL  by ALDOUS,HANK",1
07:47,"TURNOVER  by ALDOUS,HANK",,,,,,,"TURNOVER  by ALDOUS,HANK",1
07:36,,9,,24 (+15),"GOOD LAYUP by DAVIS,ALEX(in the paint)",OUM 9-24 (-15),,"GOOD LAYUP by DAVIS,ALEX(in the paint)",1
07:11,"GOOD 3PTR by CONARD,ALEC",12,,24 (+12),,HC 12-24 (-12),,"GOOD 3PTR by CONARD,ALEC",1
--,"ASSIST  by OGLE,JOHN",,,,,,,"ASSIST  by OGLE,JOHN",1
06:57,"FOUL  by OGLE,JOHN",,,,,,,"FOUL  by OGLE,JOHN",1
06:57,,12,,25 (+13),"GOOD FT by WARDLAW,CHASE",OUM 12-25 (-13),,"GOOD FT by WARDLAW,CHASE",1
06:57,,,,,"MISS FT by WARDLAW,CHASE",,,"MISS FT by WARDLAW,CHASE",1
--,"REBOUND DEF by CONARD,ALEC",,,,,,,"REBOUND DEF by CONARD,ALEC",1
06:57,,,,,"SUB IN by ANDINO,GEORGE",,,"SUB IN by ANDINO,GEORGE",1
06:57,,,,,"SUB OUT by LAWRENCE,CHRIS",,,"SUB OUT by LAWRENCE,CHRIS",1
06:47,"GOOD LAYUP by ALDOUS,HANK(in the paint)",14,,25 (+11),,HC 14-25 (-11),,"GOOD LAYUP by ALDOUS,HANK(in the paint)",1
06:30,,,,,"MISS LAYUP by WARDLAW,CHASE",,,"MISS LAYUP by WARDLAW,CHASE",1
06:30,"BLOCK  by CONARD,ALEC",,,,,,,"BLOCK  by CONARD,ALEC",1
--,,,,,"REBOUND OFF by WARDLAW,CHASE",,,"REBOUND OFF by WARDLAW,CHASE",1
06:26,,14,,27 (+13),"GOOD LAYUP by WARDLAW,CHASE(in the paint)",OUM 14-27 (-13),,"GOOD LAYUP by WARDLAW,CHASE(in the paint)",1
06:15,"MISS JUMPER by BARRETT,JORDAN",,,,,,,"MISS JUMPER by BARRETT,JORDAN",1
06:15,,,,,"BLOCK  by ANDINO,GEORGE",,,"BLOCK  by ANDINO,GEORGE",1
--,,,,,"REBOUND DEF by BATES,ROMELLO",,,"REBOUND DEF by BATES,ROMELLO",1
06:09,,,,,"MISS LAYUP by DAVIS,ALEX",,,"MISS LAYUP by DAVIS,ALEX",1
--,"REBOUND DEF by ALDOUS,HANK",,,,,,,"REBOUND DEF by ALDOUS,HANK",1
05:58,"GOOD LAYUP by OGLE,JOHN(fastbreak)(in the paint)",16,,27 (+11),,HC 16-27 (-11),,"GOOD LAYUP by OGLE,JOHN(fastbreak)(in the paint)",1
--,"ASSIST  by CONARD,ALEC",,,,,,,"ASSIST  by CONARD,ALEC",1
05:39,,,,,"MISS 3PTR by BATES,ROMELLO",,,"MISS 3PTR by BATES,ROMELLO",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
05:36,"SUB IN by GUMM,GABE",,,,,,,"SUB IN by GUMM,GABE",1
05:36,"SUB OUT by ALDOUS,HANK",,,,,,,"SUB OUT by ALDOUS,HANK",1
05:36,,,,,"SUB IN by SIGRIST,CONNOR",,,"SUB IN by SIGRIST,CONNOR",1
05:36,,,,,"SUB OUT by WARDLAW,CHASE",,,"SUB OUT by WARDLAW,CHASE",1
05:24,"MISS LAYUP by BARRETT,JORDAN",,,,,,,"MISS LAYUP by BARRETT,JORDAN",1
--,"REBOUND OFF by CONARD,ALEC",,,,,,,"REBOUND OFF by CONARD,ALEC",1
05:19,"MISS 3PTR by NIKOLOVSKI,DREW",,,,,,,"MISS 3PTR by NIKOLOVSKI,DREW",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
05:00,"FOUL  by NIKOLOVSKI,DREW",,,,,,,"FOUL  by NIKOLOVSKI,DREW",1
05:00,,16,,28 (+12),"GOOD FT by SMITH,CONNOR",OUM 16-28 (-12),,"GOOD FT by SMITH,CONNOR",1
05:00,,16,,29 (+13),"GOOD FT by SMITH,CONNOR",OUM 16-29 (-13),,"GOOD FT by SMITH,CONNOR",1
05:00,,,,,"SUB IN by LAWRENCE,CHRIS",,,"SUB IN by LAWRENCE,CHRIS",1
05:00,,,,,"SUB IN by ROMAGUERA,COLE",,,"SUB IN by ROMAGUERA,COLE",1
05:00,,,,,"SUB OUT by DAVIS,ALEX",,,"SUB OUT by DAVIS,ALEX",1
05:00,,,,,"SUB OUT by ANDINO,GEORGE",,,"SUB OUT by ANDINO,GEORGE",1
04:45,"MISS 3PTR by BARRETT,JORDAN",,,,,,,"MISS 3PTR by BARRETT,JORDAN",1
--,,,,,"REBOUND DEF by SIGRIST,CONNOR",,,"REBOUND DEF by SIGRIST,CONNOR",1
04:33,,,,,"MISS LAYUP by ROMAGUERA,COLE",,,"MISS LAYUP by ROMAGUERA,COLE",1
04:33,"BLOCK  by GUMM,GABE",,,,,,,"BLOCK  by GUMM,GABE",1
--,"REBOUND DEF by CONARD,ALEC",,,,,,,"REBOUND DEF by CONARD,ALEC",1
04:20,"GOOD LAYUP by BARRETT,JORDAN(in the paint)",18,,29 (+11),,HC 18-29 (-11),,"GOOD LAYUP by BARRETT,JORDAN(in the paint)",1
04:06,,,,,"SUB IN by WARDLAW,CHASE",,,"SUB IN by WARDLAW,CHASE",1
04:06,,,,,"SUB OUT by SIGRIST,CONNOR",,,"SUB OUT by SIGRIST,CONNOR",1
03:56,,18,,32 (+14),"GOOD 3PTR by ROMAGUERA,COLE",OUM 18-32 (-14),,"GOOD 3PTR by ROMAGUERA,COLE",1
--,,,,,"ASSIST  by LAWRENCE,CHRIS",,,"ASSIST  by LAWRENCE,CHRIS",1
03:35,"MISS JUMPER by NIKOLOVSKI,DREW",,,,,,,"MISS JUMPER by NIKOLOVSKI,DREW",1
--,,,,,"REBOUND DEF by ROMAGUERA,COLE",,,"REBOUND DEF by ROMAGUERA,COLE",1
03:25,,18,,35 (+17),"GOOD 3PTR by WARDLAW,CHASE",OUM 18-35 (-17),,"GOOD 3PTR by WARDLAW,CHASE",1
--,,,,,"ASSIST  by SMITH,CONNOR",,,"ASSIST  by SMITH,CONNOR",1
03:10,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
03:10,"SUB IN by ALDOUS,HANK",,,,,,,"SUB IN by ALDOUS,HANK",1
03:10,"SUB IN by GARRETT,TRAVIS",,,,,,,"SUB IN by GARRETT,TRAVIS",1
03:10,"SUB OUT by NIKOLOVSKI,DREW",,,,,,,"SUB OUT by NIKOLOVSKI,DREW",1
03:10,"SUB OUT by GUMM,GABE",,,,,,,"SUB OUT by GUMM,GABE",1
03:03,,,,,"FOUL  by ROMAGUERA,COLE",,,"FOUL  by ROMAGUERA,COLE",1
03:03,"GOOD FT by BARRETT,JORDAN",19,,35 (+16),,HC 19-35 (-16),,"GOOD FT by BARRETT,JORDAN",1
03:03,"GOOD FT by BARRETT,JORDAN",20,,35 (+15),,HC 20-35 (-15),,"GOOD FT by BARRETT,JORDAN",1
03:03,"SUB IN by VANCE,LUKE",,,,,,,"SUB IN by VANCE,LUKE",1
03:03,"SUB OUT by CONARD,ALEC",,,,,,,"SUB OUT by CONARD,ALEC",1
03:03,,,,,"SUB IN by DAVIS,ALEX",,,"SUB IN by DAVIS,ALEX",1
