Time Remaining,Boyce,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
05:05,"SUB IN by NAUERT,TYLER",,,,,,,"SUB IN by NAUERT,TYLER",2
05:05,,58,,83 (+25),"GOOD FT by RAKES,BAILEY",Centre 58-83 (+25),,"GOOD FT by RAKES,BAILEY",2
04:49,"GOOD LAYUP by KIRBY,KEVIN(in the paint)",60,,83 (+23),,Boyce 60-83 (+23),,"GOOD LAYUP by KIRBY,KEVIN(in the paint)",2
--,"ASSIST  by GIBSON,JAMES",,,,,,,"ASSIST  by GIBSON,JAMES",2
04:23,,,,,"MISS 3PTR by RAKES,BAILEY",,,"MISS 3PTR by RAKES,BAILEY",2
--,"REBOUND DEF by NAUERT,TYLER",,,,,,,"REBOUND DEF by NAUERT,TYLER",2
04:10,"MISS JUMPER by TURNER,NICKOLAS(in the paint)",,,,,,,"MISS JUMPER by TURNER,NICKOLAS(in the paint)",2
--,,,,,"REBOUND DEF by SPITZER,JAKOB",,,"REBOUND DEF by SPITZER,JAKOB",2
03:38,,,,,"MISS JUMPER by PURVIS,KC(in the paint)",,,"MISS JUMPER by PURVIS,KC(in the paint)",2
--,,,,,"REBOUND OFF by SPITZER,JAKOB",,,"REBOUND OFF by SPITZER,JAKOB",2
03:38,"FOUL  by BENHAM,BAILEY",,,,,,,"FOUL  by BENHAM,BAILEY",2
03:38,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
03:38,"SUB OUT by BENHAM,BAILEY",,,,,,,"SUB OUT by BENHAM,BAILEY",2
03:38,"SUB IN by GIBSON,ISAAC",,,,,,,"SUB IN by GIBSON,ISAAC",2
03:38,,60,,84 (+24),"GOOD FT by SPITZER,JAKOB",Centre 60-84 (+24),,"GOOD FT by SPITZER,JAKOB",2
03:38,,60,,85 (+25),"GOOD FT by SPITZER,JAKOB",Centre 60-85 (+25),,"GOOD FT by SPITZER,JAKOB",2
03:38,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",2
03:38,,,,,"SUB IN by BRITT,WILL",,,"SUB IN by BRITT,WILL",2
03:21,"GOOD JUMPER by KIRBY,KEVIN(in the paint)",62,,85 (+23),,Boyce 62-85 (+23),,"GOOD JUMPER by KIRBY,KEVIN(in the paint)",2
--,"ASSIST  by TURNER,NICKOLAS",,,,,,,"ASSIST  by TURNER,NICKOLAS",2
02:54,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
02:54,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",2
02:54,,,,,"SUB IN by KNOCHELMANN,PETE",,,"SUB IN by KNOCHELMANN,PETE",2
02:46,"FOUL  by NAUERT,TYLER",,,,,,,"FOUL  by NAUERT,TYLER",2
02:46,"TURNOVER  by NAUERT,TYLER",,,,,,,"TURNOVER  by NAUERT,TYLER",2
02:31,,,,,"MISS LAYUP by PURVIS,KC(in the paint)",,,"MISS LAYUP by PURVIS,KC(in the paint)",2
--,"REBOUND DEF by GIBSON,JAMES",,,,,,,"REBOUND DEF by GIBSON,JAMES",2
02:20,"TURNOVER  by GIBSON,JAMES",,,,,,,"TURNOVER  by GIBSON,JAMES",2
02:20,,,,,"STEAL  by BRITT,WILL",,,"STEAL  by BRITT,WILL",2
01:54,,,,,"MISS 3PTR by BREWER,KEEGAN",,,"MISS 3PTR by BREWER,KEEGAN",2
--,,,,,"REBOUND OFF by KNOCHELMANN,PETE",,,"REBOUND OFF by KNOCHELMANN,PETE",2
01:46,,,,,"MISS LAYUP by BRITT,WILL(in the paint)",,,"MISS LAYUP by BRITT,WILL(in the paint)",2
--,"REBOUND DEF by TURNER,NICKOLAS",,,,,,,"REBOUND DEF by TURNER,NICKOLAS",2
01:43,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
01:43,"SUB OUT by TURNER,NICKOLAS",,,,,,,"SUB OUT by TURNER,NICKOLAS",2
01:43,"SUB OUT by NAUERT,TYLER",,,,,,,"SUB OUT by NAUERT,TYLER",2
01:43,"SUB OUT by GIBSON,JAMES",,,,,,,"SUB OUT by GIBSON,JAMES",2
01:43,"SUB OUT by KIRBY,KEVIN",,,,,,,"SUB OUT by KIRBY,KEVIN",2
01:43,"SUB OUT by GIBSON,ISAAC",,,,,,,"SUB OUT by GIBSON,ISAAC",2
01:43,"SUB IN by DUCK,CHRISTOPHER",,,,,,,"SUB IN by DUCK,CHRISTOPHER",2
01:43,"SUB IN by GASH,MARVIN",,,,,,,"SUB IN by GASH,MARVIN",2
01:43,"SUB IN by ROSA,COLSON",,,,,,,"SUB IN by ROSA,COLSON",2
01:43,"SUB IN by III,KENNETH",,,,,,,"SUB IN by III,KENNETH",2
01:43,"SUB IN by OLEANA,SAMUEL",,,,,,,"SUB IN by OLEANA,SAMUEL",2
01:20,"GOOD 3PTR by GASH,MARVIN",65,,85 (+20),,Boyce 65-85 (+20),,"GOOD 3PTR by GASH,MARVIN",2
00:58,,,,,"MISS LAYUP by KNOCHELMANN,PETE(in the paint)",,,"MISS LAYUP by KNOCHELMANN,PETE(in the paint)",2
--,"REBOUND DEF by DUCK,CHRISTOPHER",,,,,,,"REBOUND DEF by DUCK,CHRISTOPHER",2
00:37,"MISS JUMPER by OLEANA,SAMUEL(in the paint)",,,,,,,"MISS JUMPER by OLEANA,SAMUEL(in the paint)",2
--,"REBOUND OFF by OLEANA,SAMUEL",,,,,,,"REBOUND OFF by OLEANA,SAMUEL",2
00:34,,,,,"FOUL  by BRITT,WILL",,,"FOUL  by BRITT,WILL",2
00:34,"GOOD FT by OLEANA,SAMUEL",66,,85 (+19),,Boyce 66-85 (+19),,"GOOD FT by OLEANA,SAMUEL",2
00:34,"GOOD FT by OLEANA,SAMUEL",67,,85 (+18),,Boyce 67-85 (+18),,"GOOD FT by OLEANA,SAMUEL",2
00:15,,,,,"MISS 3PTR by BREWER,KEEGAN",,,"MISS 3PTR by BREWER,KEEGAN",2
--,,,,,"REBOUND OFF by KNOCHELMANN,PETE",,,"REBOUND OFF by KNOCHELMANN,PETE",2
00:11,"FOUL  by III,KENNETH",,,,,,,"FOUL  by III,KENNETH",2
00:11,,67,,86 (+19),"GOOD FT by BREWER,KEEGAN",Centre 67-86 (+19),,"GOOD FT by BREWER,KEEGAN",2
00:11,,67,,87 (+20),"GOOD FT by BREWER,KEEGAN",Centre 67-87 (+20),,"GOOD FT by BREWER,KEEGAN",2
00:02,"MISS 3PTR by ROSA,COLSON",,,,,,,"MISS 3PTR by ROSA,COLSON",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
